geneID	x	y	MIDCounts
0610037L13Rik	169	785	1
0610037L13Rik	584	846	2
0610037L13Rik	619	98	4
0610037L13Rik	363	1084	3
0610037L13Rik	16	205	3
0610037L13Rik	662	642	3
0610037L13Rik	749	439	1
0610037L13Rik	305	916	2
0610037L13Rik	457	552	2
0610037L13Rik	349	986	1
0610037L13Rik	1100	955	2
0610037L13Rik	570	297	4
0610037L13Rik	596	903	2
0610037L13Rik	945	500	2
0610037L13Rik	210	814	2
0610037L13Rik	516	990	4
0610037L13Rik	566	1131	1
0610037L13Rik	17	442	2
0610037L13Rik	938	976	2
0610037L13Rik	188	826	1
0610037L13Rik	312	322	1
0610037L13Rik	463	945	1
0610037L13Rik	92	173	1
0610037L13Rik	41	456	1
0610037L13Rik	248	898	1
0610037L13Rik	352	1135	1
0610037L13Rik	263	205	1
0610037L13Rik	782	210	1
0610037L13Rik	1013	921	2
0610037L13Rik	851	116	1
0610037L13Rik	1021	1021	1
0610037L13Rik	919	179	2
0610037L13Rik	1099	393	1
0610037L13Rik	966	283	1
0610037L13Rik	862	638	1
0610037L13Rik	609	512	2
0610037L13Rik	241	637	1
0610037L13Rik	779	413	3
0610037L13Rik	610	599	3
0610037L13Rik	253	347	3
0610037L13Rik	240	755	2
0610037L13Rik	635	190	1
0610037L13Rik	272	296	1
0610037L13Rik	540	1126	1
0610037L13Rik	84	310	4
0610037L13Rik	164	776	4
0610037L13Rik	379	264	2
0610037L13Rik	473	1038	1
0610037L13Rik	1149	566	1
0610037L13Rik	322	1052	2
0610037L13Rik	834	608	1
0610037L13Rik	206	878	2
0610037L13Rik	277	305	3
0610037L13Rik	112	6	1
0610037L13Rik	1108	73	4
0610037L13Rik	375	1143	1
0610037L13Rik	154	1159	4
0610037L13Rik	295	341	3
0610037L13Rik	454	356	1
0610037L13Rik	161	67	1
0610037L13Rik	979	439	2
0610037L13Rik	916	261	2
0610037L13Rik	331	139	1
0610037L13Rik	616	1074	2
0610037L13Rik	20	913	3
0610037L13Rik	798	642	2
0610037L13Rik	737	1131	2
0610037L13Rik	712	194	1
0610037L13Rik	469	552	1
0610038B21Rik	321	364	1
0610040B10Rik	574	754	1
0610040B10Rik	957	265	1
0610040B10Rik	329	405	1
0610040B10Rik	956	234	1
0610040B10Rik	719	909	2
0610040B10Rik	969	283	1
0610040B10Rik	187	484	1
0610040B10Rik	229	482	1
0610040B10Rik	700	32	2
0610040B10Rik	505	607	1
0610040B10Rik	152	899	1
0610040B10Rik	331	1008	2
