geneID	x	y	MIDCounts
0610009B22Rik	9623	9243	4
0610009B22Rik	6221	12266	1
0610009B22Rik	6748	16301	3
0610009B22Rik	7451	18120	1
0610009B22Rik	11267	13480	1
0610009B22Rik	13053	10721	2
0610009B22Rik	7416	15864	3
0610009B22Rik	9987	16691	3
0610009B22Rik	9008	12959	1
0610009B22Rik	5931	10668	2
0610009B22Rik	8516	17737	1
0610009B22Rik	9831	7207	2
0610009B22Rik	10950	7929	1
0610009B22Rik	9657	12121	1
0610009B22Rik	11180	13833	1
0610009B22Rik	11017	8422	1
0610009B22Rik	12568	11989	2
0610009B22Rik	10837	14783	1
0610009B22Rik	8436	15454	2
0610009B22Rik	9317	10616	3
0610009B22Rik	7080	7226	1
0610009B22Rik	4528	13617	1
0610009B22Rik	11833	9287	1
0610009B22Rik	7989	18335	2
0610009B22Rik	11124	11400	3
0610009B22Rik	5275	10846	3
0610009B22Rik	8466	8127	1
0610009B22Rik	8720	7370	1
0610009B22Rik	10847	13262	2
0610009B22Rik	9512	7235	3
0610009B22Rik	9548	10376	1
0610009B22Rik	5318	12763	1
0610009B22Rik	9327	8374	1
0610009B22Rik	7036	18286	2
0610009B22Rik	9541	11082	3
0610009B22Rik	10989	10053	1
0610009B22Rik	9903	12003	1
0610009B22Rik	12626	11764	2
0610009B22Rik	10185	8328	2
0610009B22Rik	7478	11645	1
0610009B22Rik	11916	9235	3
0610009B22Rik	9994	13657	1
0610009B22Rik	7712	6817	2
0610009B22Rik	11443	9678	2
0610009B22Rik	11752	15326	1
0610009B22Rik	7478	16533	3
0610009B22Rik	8673	13547	2
0610009B22Rik	11229	7643	1
0610009B22Rik	12842	11536	3
0610009B22Rik	11139	15013	2
0610009B22Rik	5017	12175	1
0610009B22Rik	7887	19877	2
0610009B22Rik	7012	9646	3
0610009B22Rik	4299	10832	3
0610009B22Rik	9428	10146	3
0610009B22Rik	6714	12454	1
0610009B22Rik	6360	12997	3
0610009B22Rik	8100	9736	1
0610009B22Rik	6573	17141	1
0610009B22Rik	9684	8889	1
0610009B22Rik	8498	14690	2
